seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
100;100;0.500005;1;4.93866e-06;20;15;0;0.894427;0.894427;0.36707
101;100;0.500004;1;3.74645e-06;20;15;0;2.09762;2.09762;0.377409
102;100;0.500001;1;1.06096e-06;20;15;0.632456;1.09545;1.7279;0.357545
103;100;0.5;1;1.11022e-16;20;15;0;1.67332;1.67332;0.386859
104;100;0.500012;1;1.17377e-05;20;15;0;0;0;0.361341
105;100;0.499997;1;2.64975e-06;20;15;0;0.894427;0.894427;0.33611
106;100;0.499999;1;1.16911e-06;20;15;0;1.41421;1.41421;0.366514
107;100;0.500003;1;2.52759e-06;20;15;0;0.632456;0.632456;0.380745
108;100;0.500001;1;1.37623e-06;20;15;1.09545;1.09545;2.19089;0.327208
109;100;0.499973;1;2.74302e-05;20;15;0;0.894427;0.894427;0.365022
110;100;0.500001;1;1.27295e-06;20;15;0;1.41421;1.41421;0.359035
111;100;0.499978;1;2.24521e-05;20;15;0;0;0;0.37036
112;100;0.499992;1;8.03323e-06;20;15;0;0.632456;0.632456;0.339909
113;100;0.500008;1;8.20334e-06;20;15;0;1.78885;1.78885;0.347975
114;100;0.5;1;1.09798e-07;20;15;0;0.894427;0.894427;0.3239
115;100;0.500025;1;2.47832e-05;20;15;0;1.09545;1.09545;0.318674
116;100;0.499993;1;7.11158e-06;20;15;0;0.632456;0.632456;0.324372
117;100;0.500003;1;3.1912e-06;20;15;0;1.09545;1.09545;0.33193
118;100;0.500002;1;1.93146e-06;20;15;0;1.09545;1.09545;0.343476
119;100;0.500015;1;1.52485e-05;20;15;0;1.26491;1.26491;0.377898
120;100;0.500004;1;4.10965e-06;20;15;0;1.26491;1.26491;0.341014
121;100;0.5;1;0;20;15;0;0.894427;0.894427;0.361024
122;100;0.500003;1;3.28274e-06;20;15;0;0.632456;0.632456;0.353856
123;100;0.500011;1;1.05084e-05;20;15;0;0.632456;0.632456;0.363201
124;100;0.5;1;1.29591e-07;20;15;0;1.67332;1.67332;0.354795
125;100;0.5;1;2.64466e-07;20;15;0;1.41421;1.41421;0.392667
126;100;0.500001;1;8.74049e-07;20;15;0.632456;1.09545;1.7279;0.326635
