seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
100;75;0.115572;1;0.115572;20;15;0;0.632456;0.632456;0.301303
101;75;0.0977672;1;0.0977672;20;15;0;0.632456;0.632456;0.287177
102;75;0.118813;1;0.118813;20;15;0;0.632456;0.632456;0.289038
103;75;0.151585;1;0.151585;20;15;0;1.78885;1.78885;0.303321
104;76;0.182549;1;0.195882;20;15;1.09545;0.894427;1.98987;0.305437
105;75;0.0713579;1;0.0713579;20;15;0;1.41421;1.41421;0.314673
106;75;0.117729;1;0.117729;20;15;1.78885;1.41421;3.20307;0.332089
107;76;0.10111;1;0.114444;20;15;0;1.26491;1.26491;0.287968
108;75;0.0515703;1;0.0515703;20;15;1.78885;1.41421;3.20307;0.305911
109;75;0.130872;1;0.130872;20;15;0;1.41421;1.41421;0.323012
110;75;0.0743762;1;0.0743762;20;15;0.632456;1.89737;2.52982;0.322969
111;75;0.157264;1;0.157264;20;15;0;0;0;0.309008
112;75;0.0668388;1;0.0668388;20;15;0.632456;1.78885;2.42131;0.322093
113;75;0.0268043;1;0.0268043;20;15;0.632456;1.26491;1.89737;0.296522
114;75;0.158572;1;0.158572;20;15;0.632456;1.41421;2.04667;0.319702
115;75;0.113143;1;0.113143;20;15;0;1.26491;1.26491;0.311549
116;75;0.133545;1;0.133545;20;15;0;1.54919;1.54919;0.365335
117;75;0.08816;1;0.08816;20;15;1.09545;1.89737;2.99281;0.336491
118;75;0.0715386;1;0.0715386;20;15;0;1.41421;1.41421;0.328399
119;75;0.147527;1;0.147527;20;15;1.09545;2.52982;3.62527;0.412002
120;75;0.115787;1;0.115787;20;15;0.632456;2.09762;2.73007;0.343236
121;75;0.178019;1;0.178019;20;15;0.632456;1.09545;1.7279;0.340135
122;75;0.110912;1;0.110912;20;15;2.09762;1.26491;3.36253;0.337744
123;75;0.131112;1;0.131112;20;15;0;0.632456;0.632456;0.325009
124;75;0.12733;1;0.12733;20;15;0.632456;2.36643;2.99889;0.320236
125;75;0.105553;1;0.105553;20;15;0;2;2;0.334059
126;75;0.115854;1;0.115854;20;15;1.78885;1.09545;2.8843;0.310538
127;75;0.131819;1;0.131819;20;15;0.632456;1.78885;2.42131;0.315427
128;75;0.120905;1;0.120905;20;15;1.09545;1.54919;2.64464;0.342334
129;75;0.0980558;1;0.0980558;20;15;0;1.09545;1.09545;0.322677
130;75;0.15059;1;0.15059;20;15;1.09545;1.26491;2.36036;0.313848
131;75;0.153388;1;0.153388;20;15;0;1.67332;1.67332;0.298598
132;75;0.101797;1;0.101797;20;15;0;1.89737;1.89737;0.31043
133;75;0.125459;1;0.125459;20;15;0.632456;1.78885;2.42131;0.332449
134;75;0.118503;1;0.118503;20;15;0.632456;1.41421;2.04667;0.305035
135;75;0.110582;1;0.110582;20;15;1.41421;0;1.41421;0.396076
136;75;0.147495;1;0.147495;20;15;0.632456;1.67332;2.30578;0.319405
137;75;0.0660422;1;0.0660422;20;15;0;1.78885;1.78885;0.301567
138;75;0.0993687;1;0.0993687;20;15;0.894427;1.67332;2.56775;0.304343
139;75;0.0929513;1;0.0929513;20;15;0;1.26491;1.26491;0.294041
140;75;0.075731;1;0.075731;20;15;1.09545;1.54919;2.64464;0.308389
141;75;0.090707;1;0.090707;20;15;0.632456;0.632456;1.26491;0.298833
142;75;0.0801704;1;0.0801704;20;15;0.632456;0.632456;1.26491;0.299936
143;75;0.103922;1;0.103922;20;15;0.632456;1.67332;2.30578;0.290394
144;75;0.0483593;1;0.0483593;20;15;0;1.09545;1.09545;0.28638
145;76;0.0993375;1;0.112671;20;15;0.632456;2;2.63246;0.279004
146;75;0.0742581;1;0.0742581;20;15;1.41421;0.632456;2.04667;0.290096
147;75;0.0875711;1;0.0875711;20;15;0;1.41421;1.41421;0.28529
148;75;0.103007;1;0.103007;20;15;0;1.26491;1.26491;0.302367
149;75;0.0823172;1;0.0823172;20;15;0;1.09545;1.09545;0.32872
150;75;0.11937;1;0.11937;20;15;0;1.09545;1.09545;0.306317
