seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
100;75;0.499992;1;8.25531e-06;20;21;0.632456;0.979796;10.6123;0.357219
101;75;0.5;1;0;20;25;0.894427;1.09545;6.98987;0.320718
102;75;0.499997;1;3.40201e-06;20;24;0;2.71293;8.71293;0.364659
103;75;0.500024;1;2.35623e-05;20;29;0;2.22711;3.22711;0.358263
104;75;0.499997;1;2.6561e-06;20;26;0;2.85657;6.85657;0.401766
105;75;0.500005;1;5.22227e-06;20;23;0.632456;0.489898;8.12235;0.362048
106;75;0.499996;1;3.6545e-06;20;29;1.54919;0.979796;3.52899;0.367472
107;75;0.499979;1;2.13865e-05;20;30;0.632456;1.54919;2.18165;0.348411
108;75;0.500001;1;9.36322e-07;20;28;1.09545;1.85472;4.95017;0.32536
109;75;0.499999;1;5.91578e-07;20;29;1.09545;2.13542;4.23086;0.353264
110;75;0.499975;1;2.48438e-05;20;30;0;1.67332;1.67332;0.331697
111;75;0.499975;1;2.46673e-05;20;24;1.26491;1.72047;8.98538;0.353385
112;75;0.500027;1;2.7224e-05;20;30;0.632456;1.26491;1.89737;0.31192
113;75;0.499991;1;8.83718e-06;20;27;1.41421;1.35647;5.77068;0.312525
114;75;0.500018;1;1.80931e-05;20;27;0.632456;1.95959;5.59205;0.364303
115;75;0.500004;1;4.41752e-06;20;29;0;1.93907;2.93907;0.31977
116;75;0.500014;1;1.40704e-05;20;29;0.632456;2.13542;3.76787;0.349781
117;75;0.499989;1;1.07544e-05;20;28;0.632456;1.35647;3.98892;0.317302
118;75;0.5;1;9.96106e-09;20;25;0.632456;2.28035;7.91281;0.329223
119;75;0.499988;1;1.19446e-05;20;28;1.67332;1.0198;4.69312;0.345204
120;75;0.50001;1;9.50686e-06;20;29;2;1.6;4.6;0.316584
121;75;0.499982;1;1.7827e-05;20;30;0.894427;0.632456;1.52688;0.312934
122;75;0.50001;1;9.88282e-06;20;30;1.41421;0.894427;2.30864;0.344044
123;75;0.50003;1;2.99689e-05;20;27;1.54919;2.41661;6.9658;0.323348
124;75;0.5;1;0;20;18;0;1.95959;13.9596;0.341716
125;75;0.500004;1;3.81964e-06;20;25;0.632456;2.09762;7.73007;0.338018
126;75;0.500015;1;1.46322e-05;20;19;1.09545;1.6;13.6954;0.356148
127;75;0.499998;1;1.97632e-06;20;22;1.09545;1.74356;10.839;0.34141
128;75;0.499991;1;9.08135e-06;20;29;0;2.63818;3.63818;0.329113
129;75;0.500061;1;6.10013e-05;20;28;0.632456;1.35647;3.98892;0.33467
130;75;0.499951;1;4.85993e-05;20;30;0.632456;1.26491;1.89737;0.331921
131;75;0.500011;1;1.09182e-05;20;30;1.89737;1.41421;3.31158;0.327409
