seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
100;75;0.499992;1;8.25531e-06;20;15;0.632456;0;0.632456;0.340107
101;75;0.5;1;0;20;15;0.632456;1.09545;1.7279;0.294407
102;75;0.499997;1;3.40201e-06;20;15;0;1.67332;1.67332;0.326988
103;75;0.500024;1;2.35623e-05;20;15;0;1.78885;1.78885;0.299028
104;75;0.499997;1;2.6561e-06;20;15;0;1.09545;1.09545;0.321119
105;75;0.500005;1;5.22227e-06;20;15;0.632456;1.67332;2.30578;0.296886
106;75;0.499996;1;3.6545e-06;20;15;0;1.09545;1.09545;0.312629
107;75;0.499979;1;2.13865e-05;20;15;0;0.632456;0.632456;0.284858
108;75;0.500001;1;9.36322e-07;20;15;0;1.41421;1.41421;0.294423
109;75;0.499999;1;5.91578e-07;20;15;0;1.41421;1.41421;0.301758
110;75;0.499975;1;2.48438e-05;20;15;0;0.632456;0.632456;0.289453
111;75;0.499975;1;2.46673e-05;20;15;0.632456;1.41421;2.04667;0.31027
112;75;0.500027;1;2.7224e-05;20;15;0;0.632456;0.632456;0.287021
113;75;0.499991;1;8.83718e-06;20;15;1.78885;0;1.78885;0.286155
114;75;0.500018;1;1.80931e-05;20;15;0.632456;0.894427;1.52688;0.310847
115;75;0.500004;1;4.41752e-06;20;15;0;1.09545;1.09545;0.295346
116;75;0.500014;1;1.40704e-05;20;15;0;1.09545;1.09545;0.319066
117;75;0.499989;1;1.07544e-05;20;15;0;1.67332;1.67332;0.29089
118;75;0.5;1;9.96106e-09;20;15;0.632456;0.632456;1.26491;0.292231
119;75;0.499988;1;1.19446e-05;20;15;0.632456;0.632456;1.26491;0.313057
120;75;0.50001;1;9.50686e-06;20;15;0.632456;1.54919;2.18165;0.293802
121;75;0.499982;1;1.7827e-05;20;15;0.632456;1.09545;1.7279;0.280281
122;75;0.50001;1;9.88282e-06;20;15;0.632456;1.41421;2.04667;0.300107
123;75;0.50003;1;2.99689e-05;20;15;1.54919;1.67332;3.22251;0.295666
124;75;0.5;1;0;20;15;0;1.26491;1.26491;0.315432
125;75;0.500004;1;3.81964e-06;20;15;0;1.67332;1.67332;0.306067
126;75;0.500015;1;1.46322e-05;20;15;1.09545;0;1.09545;0.309905
127;75;0.499998;1;1.97632e-06;20;15;1.09545;1.54919;2.64464;0.317612
128;75;0.499991;1;9.08135e-06;20;15;0;1.41421;1.41421;0.296933
129;75;0.500061;1;6.10013e-05;20;15;0;1.41421;1.41421;0.289453
130;75;0.499951;1;4.85993e-05;20;15;0;0.632456;0.632456;0.303472
131;75;0.500011;1;1.09182e-05;20;15;2.28035;0.632456;2.91281;0.286989
132;75;0.499954;1;4.56349e-05;20;15;1.89737;0.632456;2.52982;0.298231
133;75;0.500001;1;1.44512e-06;20;15;0;1.09545;1.09545;0.302635
134;75;0.500104;1;0.000104034;20;15;0.632456;1.41421;2.04667;0.285931
135;75;0.499985;1;1.4924e-05;20;15;0.894427;2;2.89443;0.295213
136;75;0.500008;1;7.79946e-06;20;15;0.632456;1.67332;2.30578;0.315847
137;75;0.499891;1;0.00010912;20;15;1.26491;0;1.26491;0.292685
138;75;0.500004;1;4.38149e-06;20;15;0;1.41421;1.41421;0.303922
139;75;0.500076;1;7.63726e-05;20;15;0;1.26491;1.26491;0.279529
140;75;0.500006;1;5.5757e-06;20;15;2.28035;0.632456;2.91281;0.300198
141;75;0.500001;1;8.16747e-07;20;15;0.632456;1.26491;1.89737;0.312722
142;75;0.500001;1;1.1544e-06;20;15;0.632456;0.632456;1.26491;0.293871
143;75;0.500009;1;8.8514e-06;20;15;0;1.41421;1.41421;0.300337
144;75;0.499999;1;1.20066e-06;20;15;0;1.09545;1.09545;0.298967
145;75;0.499995;1;4.74105e-06;20;15;0;1.09545;1.09545;0.320474
146;75;0.499936;1;6.37809e-05;20;15;0;0;0;0.280997
147;75;0.5;1;1.11022e-16;20;15;1.41421;1.09545;2.50966;0.297543
148;75;0.500015;1;1.47224e-05;20;15;0.632456;1.41421;2.04667;0.285474
149;75;0.49998;1;2.03112e-05;20;15;1.54919;0.632456;2.18165;0.330975
150;75;0.5;1;1.11022e-16;20;15;0.632456;1.26491;1.89737;0.306127
151;75;0.5;1;1.18675e-07;20;15;0.894427;1.26491;2.15934;0.295568
152;75;0.499996;1;3.53719e-06;20;15;0;0;0;0.299021
153;75;0.499996;1;4.25985e-06;20;15;0;1.67332;1.67332;0.309713
154;75;0.499997;1;3.11114e-06;20;15;1.67332;1.78885;3.46217;0.286252
