seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
386;75;0.877947;1;0.122053;20;15;0.632456;0.632456;1.26491;0.413341
387;75;0.917438;1;0.0825623;20;15;0;0.894427;0.894427;0.386998
388;75;0.932459;1;0.0675407;20;15;0;1.09545;1.09545;0.403433
389;75;0.916113;1;0.0838873;20;15;1.26491;0.632456;1.89737;0.334091
390;75;0.926687;1;0.0733132;20;15;0.894427;1.41421;2.30864;0.343011
391;75;0.934776;1;0.0652241;20;15;0.632456;1.26491;1.89737;0.325499
392;75;0.928628;1;0.0713722;20;15;0;0.632456;0.632456;0.340791
393;75;0.95034;1;0.0496605;20;15;2;1.41421;3.41421;0.32845
394;75;0.917295;1;0.0827045;20;15;0;1.67332;1.67332;0.368072
395;75;0.932705;1;0.0672952;20;15;1.09545;0;1.09545;0.318798
396;75;0.910281;1;0.0897191;20;15;0;1.41421;1.41421;0.30022
397;75;0.940281;1;0.0597185;20;15;0.632456;0;0.632456;0.305347
398;75;0.928523;1;0.0714766;20;15;0;1.41421;1.41421;0.294971
399;75;0.922922;1;0.0770782;20;15;0;0.632456;0.632456;0.299379
400;75;0.958815;1;0.0411846;20;15;0;1.67332;1.67332;0.297571
401;75;0.937397;1;0.0626032;20;15;0.632456;1.09545;1.7279;0.299318
402;75;0.911585;1;0.0884152;20;15;0.632456;0;0.632456;0.299455
403;75;0.935289;1;0.0647109;20;15;0;1.67332;1.67332;0.321708
404;75;0.900976;1;0.0990244;20;15;0;0.632456;0.632456;0.297266
405;75;0.934408;1;0.0655919;20;15;1.67332;0;1.67332;0.301519
406;75;0.904045;1;0.0959552;20;15;1.09545;0;1.09545;0.308115
407;75;0.927073;1;0.0729272;20;15;1.09545;1.09545;2.19089;0.294025
408;75;0.930219;1;0.0697807;20;15;0;1.41421;1.41421;0.336757
409;75;0.926396;1;0.0736041;20;15;0;0.632456;0.632456;0.340062
410;75;0.928674;1;0.0713259;20;15;0.632456;2;2.63246;0.313964
411;75;0.92826;1;0.0717404;20;15;0;0.894427;0.894427;0.337152
412;75;0.908395;1;0.0916053;20;15;0.632456;0.894427;1.52688;0.300935
413;75;0.917487;1;0.0825134;20;15;0;0.894427;0.894427;0.299477
414;75;0.916388;1;0.0836119;20;15;0;1.41421;1.41421;0.295721
415;75;0.939607;1;0.060393;20;15;0.632456;0.894427;1.52688;0.297824
416;75;0.924448;1;0.0755519;20;15;0.632456;1.09545;1.7279;0.28582
417;75;0.906312;1;0.0936883;20;15;0;0;0;0.310284
418;75;0.934982;1;0.0650178;20;15;1.09545;1.78885;2.8843;0.306409
419;75;0.930633;1;0.0693671;20;15;1.09545;1.09545;2.19089;0.322767
420;75;0.938903;1;0.0610973;20;15;0.632456;1.78885;2.42131;0.296184
421;75;0.936052;1;0.0639483;20;15;0;0.632456;0.632456;0.295658
422;75;0.950264;1;0.0497357;20;15;1.54919;0;1.54919;0.287959
423;75;0.929659;1;0.0703412;20;15;0.632456;0.632456;1.26491;0.292891
424;75;0.918374;1;0.0816264;20;15;0;1.26491;1.26491;0.310403
425;75;0.8971;1;0.1029;20;15;0;1.09545;1.09545;0.300363
426;75;0.930209;1;0.0697907;20;15;0.632456;1.54919;2.18165;0.283846
427;75;0.918388;1;0.0816118;20;15;0.632456;1.41421;2.04667;0.288786
428;75;0.901387;1;0.0986131;20;15;0.632456;2.19089;2.82335;0.29571
429;75;0.943936;1;0.0560638;20;15;0.894427;0.632456;1.52688;0.296917
430;75;0.907656;1;0.0923443;20;15;0;1.09545;1.09545;0.299353
431;75;0.960815;1;0.0391845;20;15;0;0;0;0.295068
432;75;0.938928;1;0.0610722;20;15;0;0.632456;0.632456;0.294501
433;75;0.897488;1;0.102512;20;15;1.78885;2;3.78885;0.290863
434;75;0.899313;1;0.100687;20;15;0;0.894427;0.894427;0.303794
435;75;0.913294;1;0.0867061;20;15;0;1.09545;1.09545;0.297265
436;75;0.944688;1;0.0553115;20;15;0;0;0;0.296599
437;75;0.925106;1;0.0748938;20;15;1.09545;1.67332;2.76877;0.312467
438;75;0.904944;1;0.095056;20;15;0;0.894427;0.894427;0.280774
439;75;0.944598;1;0.0554021;20;15;1.26491;0.632456;1.89737;0.301578
