seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
528;50;0.500069;1;6.94503e-05;20;10;1.41421;1.54919;7.96341;0.31274
529;50;0.500148;1;0.0001476;20;7;0;1.0198;9.0198;0.332853
530;50;0.499925;1;7.4763e-05;20;8;0.632456;1.0198;8.65226;0.309099
531;55;0.500422;1;0.100422;20;15;1.41421;2.36643;3.78065;0.305781
532;50;0.50009;1;9.01949e-05;20;6;1.09545;0.979796;11.0752;0.316233
533;50;0.499895;1;0.000105199;20;9;0.894427;0.979796;7.87422;0.317235
534;50;0.498566;1;0.00143409;20;8;0;1.2;8.2;0.321241
535;50;0.499994;1;5.73003e-06;20;11;0.632456;0.979796;5.61225;0.313732
536;50;0.500087;1;8.74019e-05;20;9;1.67332;1.32665;8.99997;0.321315
537;54;0.49894;1;0.0810596;20;14;1.41421;2.92575;5.33996;0.305458
538;50;0.500032;1;3.23107e-05;20;10;0.632456;0.894427;6.52688;0.318432
539;50;0.5;1;0;20;9;1.41421;0.979796;8.39401;0.310693
540;52;0.498895;1;0.0411053;20;12;1.09545;1.35647;5.45191;0.317905
541;50;0.499902;1;9.75992e-05;20;9;0.894427;0.748331;7.64276;0.323332
542;50;0.500126;1;0.000125618;20;10;1.67332;1.67332;8.34664;0.304579
543;51;0.500736;1;0.0207362;20;9;1.41421;1.16619;8.5804;0.304263
544;50;0.502277;1;0.00227671;20;10;1.41421;1.41421;7.82843;0.317415
545;50;0.499843;1;0.000156639;20;8;1.67332;1.35647;10.0298;0.330659
546;50;0.500889;1;0.000888671;20;10;0;0;5;0.302881
547;50;0.499899;1;0.000100612;20;12;0.894427;1.49666;5.39109;0.308254
548;50;0.499562;1;0.000437566;20;11;1.41421;2.48193;7.89615;0.315957
549;50;0.499997;1;2.95011e-06;20;9;0;0.4;6.4;0.31714
550;50;0.5;1;2.54685e-08;20;10;2.52982;1.54919;9.07902;0.313223
551;50;0.499989;1;1.14855e-05;20;9;2.44949;1.32665;9.77614;0.314882
552;50;0.500475;1;0.000474973;20;8;1.78885;1.35647;10.1453;0.326851
553;50;0.500163;1;0.000163469;20;5;1.78885;0.632456;12.4213;0.323381
554;50;0.500069;1;6.8793e-05;20;9;1.67332;0.748331;8.42165;0.357267
555;50;0.499963;1;3.71249e-05;20;9;1.54919;1.16619;8.71538;0.318989
556;50;0.499864;1;0.000135671;20;8;1.67332;1.2;9.87332;0.31395
557;50;0.499513;1;0.000486614;20;14;1.26491;1.16619;3.4311;0.308586
558;50;0.499933;1;6.70766e-05;20;12;0.632456;1.0198;4.65226;0.320296
559;50;0.5;1;0;20;4;2.19089;0.4;13.5909;0.314881
560;50;0.499984;1;1.61106e-05;20;8;1.41421;0.489898;8.90411;0.343161
561;50;0.500027;1;2.69787e-05;20;11;1.09545;1.16619;6.26164;0.313805
562;50;0.499984;1;1.56919e-05;20;11;1.89737;0.748331;6.6457;0.310978
563;50;0.499989;1;1.09869e-05;20;12;0.632456;1.0198;4.65226;0.303926
564;50;0.500343;1;0.000342938;20;8;0;1.49666;8.49666;0.337551
565;50;0.49996;1;4.01848e-05;20;10;1.09545;0.632456;6.7279;0.315407
566;50;0.500083;1;8.31205e-05;20;8;0.632456;1.0198;8.65226;0.329635
567;50;0.50005;1;4.95559e-05;20;9;1.26491;1.16619;8.4311;0.318011
568;50;0.499953;1;4.6535e-05;20;12;1.09545;1.85472;5.95017;0.32976
569;50;0.500133;1;0.000132552;20;9;0.632456;1.32665;7.95911;0.318402
570;50;0.500082;1;8.15309e-05;20;13;1.09545;1.2;4.29545;0.315962
571;51;0.500451;1;0.0204507;20;12;1.41421;2.57682;6.99103;0.319519
572;50;0.499987;1;1.26762e-05;20;10;0.894427;1.41421;7.30864;0.310844
573;50;0.499974;1;2.57996e-05;20;10;0;1.09545;6.09545;0.335098
574;50;0.499939;1;6.09997e-05;20;9;0.632456;0.979796;7.61225;0.314964
575;50;0.500042;1;4.15348e-05;20;13;0;1.0198;3.0198;0.339685
576;50;0.499691;1;0.000308548;20;10;0.632456;1.09545;6.7279;0.321073
577;50;0.499975;1;2.45116e-05;20;7;1.41421;1.0198;10.434;0.320709
578;50;0.499922;1;7.84394e-05;20;8;0.632456;1.35647;8.98892;0.322143
579;50;0.499997;1;2.98577e-06;20;13;0.894427;1.85472;4.74915;0.323911
580;50;0.500061;1;6.06384e-05;20;8;0.632456;1.0198;8.65226;0.313795
581;50;0.500332;1;0.000332379;20;12;0.632456;1.49666;5.12912;0.305359
582;50;0.500016;1;1.62291e-05;20;5;0.632456;1.26491;11.8974;0.332101
583;50;0.499612;1;0.000387904;20;11;1.09545;1.32665;6.4221;0.331851
584;50;0.501827;1;0.00182693;20;10;1.67332;2.28035;8.95367;0.303852
585;50;0.501175;1;0.0011754;20;12;0.632456;1.74356;5.37602;0.321967
586;50;0.500046;1;4.64123e-05;20;7;0;0.489898;8.4899;0.340094
587;50;0.499991;1;8.93608e-06;20;8;1.09545;0.8;8.89545;0.315152
588;50;0.499886;1;0.000113695;20;9;0.894427;1.72047;8.61489;0.312923
589;50;0.500003;1;2.7481e-06;20;8;1.41421;0.489898;8.90411;0.326956
590;50;0.49996;1;4.02781e-05;20;9;1.78885;1.32665;9.1155;0.310027
591;50;0.5;1;4.42589e-07;20;7;1.54919;0.8;10.3492;0.335248
592;50;0.499935;1;6.45152e-05;20;12;0.632456;1.0198;4.65226;0.308759
593;50;0.50761;1;0.00760971;20;11;0.894427;1.16619;6.06062;0.313552
594;50;0.499975;1;2.47423e-05;20;9;1.26491;1.16619;8.4311;0.316736
595;50;0.500167;1;0.000166683;20;9;1.09545;0.979796;8.07524;0.363813
596;50;0.499922;1;7.78542e-05;20;7;0.894427;0.489898;9.38433;0.324782
597;50;0.500009;1;8.71348e-06;20;12;1.41421;1.0198;5.43402;0.315913
598;50;0.500089;1;8.94235e-05;20;8;1.26491;1.0198;9.28471;0.328991
599;50;0.500571;1;0.000571302;20;13;1.41421;2.41661;5.83082;0.317649
